Measured Depth m,Average Rotary Speed rpm,Corrected Total Hookload kkgf,MWD Turbine RPM rpm,Corrected Hookload kkgf,Mud Density Out g/cm3,Average Hookload kkgf,Total Hookload kkgf,ROPIH s/m,Lag Depth (TVD) m,Total Vertical Depth m,Mud Density In g/cm3,Mud Density In g/cm3.1,Averaged WOB kkgf,Hole Depth (TVD) m
817.007,,,,,,,,,,,,,,783.8456256
817.0160000000001,104.0,169.49975759871,,89.75595099086,,89.75595099086,107.42836331843,127.755905511811,,,,1.19826420479462,,783.8526360000001
817.044,,,,,,,,,,,,,,783.873972
817.0930000000001,,,,,,,,,,,,,,783.912072
817.1410000000001,,,,,,,,,,,,,,783.950172
817.169,104.0,169.52289080958,,90.18504937288,,90.18504937288,107.42836331843,104.133858267717,,,,1.19826420479462,,783.9718128
817.184,,,,,,,,,,,,,,783.9837
817.321,104.0,169.54738479756,3125.0,89.84803024196998,,89.84803024196998,107.42836331843,109.448818897638,,,,1.19826420479462,,784.0906848
817.327,,,,,,,,,,,,,,784.0955616
817.37,,,,,,,,,,,,,,784.1287848
817.413,,,,,,,,,,,,,,784.1623128
817.461,,,,,,,,,,,,,,784.2004128
817.4739999999999,104.0,169.57187878553998,,89.83759761746,,89.83759761746,107.42836331843,111.220472440945,,,,1.19826420479462,,784.2098616000001
817.55,,,,,,,,,,,,,,784.2692976
817.596,,,,,,,,,,,,,,784.3049592
817.6260000000001,104.0,169.59637277352,,89.82489703110001,,89.82489703110001,107.42836331843,110.236220472441,,,,1.19826420479462,,784.3287336
817.6410000000001,,,,,,,,,,,,,,784.3406208
817.742,,,,,,,,,,,,,,784.4192592
817.778,104.0,169.62132035387,3125.0,90.03173515181999,,90.03173515181999,107.42836331843,101.771653543307,,,,1.19826420479462,,784.4479104
817.845,,,,,,,,,,,,,,784.5000312000001
817.8910000000001,,,,,,,,,,,,,,784.5356928
817.931,104.0,169.64626793422,,89.64981037628,,89.64981037628,107.42836331843,101.968503937008,,,,1.19826420479462,,784.5667824
817.943,,,,,,,,,,,,,,784.5762312
817.992,,,,,,,,,,,,,,784.6143312
818.0010000000001,,,,,1.20000004768372,,,,786.0900268554691,786.0900268554691,1.19000005722046,,11.9306794973463,
818.041,,,,,,,,,,,,,,784.6524312000001
818.0830000000001,104.0,169.67030832983,,89.75867254508002,,89.75867254508002,107.42836331843,101.771653543307,,,,1.19826420479462,,784.6856544
818.092,,,,,,,,,,,,,,784.6926647999999
818.1439999999999,,,,,,,,,,,,,,784.7332032
818.2360000000001,104.0,169.69480231781,3125.0,89.41303515914,,89.41303515914,107.42836331843,95.0787401574803,,,,1.19826420479462,,784.8045264
818.2510000000001,,,,,,,,,,,,,,784.8164136
818.303,,,,,,,,,,,,,,784.856952
818.3610000000001,,,,,,,,,,,,,,784.9020624
818.388,104.0,169.71884271342,,89.09098457644001,,89.09098457644001,107.42836331843,96.8503937007874,,,,1.19826420479462,,784.9233984
818.409,,,,,,,,,,,,,,784.9401624
818.461,,,,,,,,,,,,,,784.980396
818.513,,,,,,,,,,,,,,785.0209344
818.54,104.0,169.74333670139998,,89.09143816881,,89.09143816881,107.42836331843,97.0472440944882,,,,1.19826420479462,,785.0422704
818.638,,,,,,,,,,,,,,785.1184704
818.693,104.0,169.76783068938,3125.0,89.63212027385,,89.63212027385,107.42836331843,105.118110236221,,,,1.19826420479462,,785.1611424
818.742,,,,,,,,,,,,,,785.1992424
818.845,104.0,169.79277826973,,89.48833149256001,,89.48833149256001,107.42836331843,102.55905511811,,,,1.19826420479462,,785.2800143999999
818.998,104.0,169.81681866533998,,89.21844403240999,,89.21844403240999,107.42836331843,114.566929133858,,,,1.19826420479462,,785.3988864
819.0010000000001,,,,,1.20000004768372,,,,786.9199829101559,786.9199829101559,1.19000005722046,,11.6859478396261,
819.071,,,,,,,,,,,,,,785.455884
819.15,104.0,169.84131265332,3125.0,89.25699938385999,,89.25699938385999,107.42836331843,112.40157480315,,,,1.19826420479462,,785.5174536000001
819.2510000000001,,,,,,,,,,,,,,785.5957872
819.302,104.0,169.86535304893,,89.48697071545,,89.48697071545,107.42836331843,112.992125984252,,,,1.19826420479462,,785.6363256
819.44,,,,,,,,,,,,,,785.7433103999999
819.455,104.0,169.89030062928,,89.94192386256,,89.94192386256,107.42836331843,111.417322834646,,,,1.19826420479462,,785.7548928
819.485,,,,,,,,,,,,,,785.7786672
819.607,104.0,169.91434102488998,3125.0,90.23948045728,,90.23948045728,107.42836331843,103.740157480315,,,,1.19826420479462,,785.8737647999999
819.76,104.0,169.93883501287,,90.13606139692,,90.13606139692,107.42836331843,107.086614173228,,,,1.19826420479462,,785.992332
819.827,,,,,,,,,,,,,,786.0447576
819.9119999999999,104.0,169.96287540848,,90.05985787876,,90.05985787876,107.42836331843,105.708661417323,,,,1.19826420479462,,786.111204
819.921,,,,,,,,,,,,,,786.1182143999999
820.0,,,,,,,,,,787.72998046875,1.19000005722046,,10.6152456215039,
820.064,104.0,169.98782298883,3125.0,90.03400311366998,,90.03400311366998,107.42836331843,104.527559055118,,,,1.19826420479462,,786.2297712000001
820.1160000000001,,,,,,,,,,,,,,786.2700047999999
820.183,,,,,,,,,,,,,,786.3224303999999
820.217,104.0,170.01186338443998,,90.33654922446,,90.33654922446,107.42836331843,102.55905511811,,,,1.19826420479462,,786.3483384
820.232,,,,,,,,,,,,,,786.3602256
820.278,,,,,,,,,,,,,,786.3958872000001
820.327,,,,,,,,,,,,,,786.4336824
820.3689999999999,104.0,170.03635737242,,89.95462444892,,89.95462444892,107.42836331843,106.889763779528,,,,1.19826420479462,,786.4669056
820.372,,,,,,,,,,,,,,786.4693440000001
820.4119999999999,,,,,,,,,,,,,,786.5001288
820.4939999999999,,,,,,,,,,,,,,786.5641368
820.5219999999999,104.0,170.06039776803,3125.0,90.03445670604,,90.03445670604,107.42836331843,120.866141732284,,,,1.19826420479462,,786.5854727999999
820.546,,,,,,,,,,,,,,786.6046752000001
820.592,,,,,,,,,,,,,,786.640032
820.64,,,,,,,,,,,,,,786.678132
820.674,104.0,170.08579894075,,89.71603486229999,,89.71603486229999,107.42836331843,108.858267716535,,,,1.19826420479462,,786.7040400000001
820.68,,,,,,,,,,,,,,786.7089168
820.7289999999999,,,,,,,,,,,,,,786.746712
820.775,,,,,,,,,,,,,,786.7823736
820.817,,,,,,,,,,,,,,786.8155968
820.826,104.0,170.1107465211,,89.82081469977,,89.82081469977,107.42836331843,114.173228346457,,,,1.19826420479462,,786.8226072000001
820.857,,,,,,,,,,,,,,786.8463816000001
820.903,,,,,,,,,,,,,,786.8820432
820.948,,,,,,,,,,,,,,786.9174
820.9789999999999,104.0,170.13433332434,3125.0,90.24356278861,,90.24356278861,107.42836331843,112.204724409449,,,,1.19826420479462,,786.9411744
820.988,,,,,,,,,,,,,,786.9481847999999
821.0,,,,,1.20000004768372,,,,788.5599975585941,788.5599975585941,1.19000005722046,,11.1251037279929,
821.034,,,,,,,,,,,,,,786.9838464
821.076,,,,,,,,,,,,,,787.0170696
821.1189999999999,,,,,,,,,,,,,,787.0502928
821.1310000000001,104.0,170.15837371995002,,89.89837899503999,,89.89837899503999,107.42836331843,114.763779527559,,,,1.19826420479462,,787.0597416
821.1619999999999,,,,,,,,,,,,,,787.0832112
821.2130000000001,,,,,,,,,,,,,,787.1237496
821.2589999999999,,,,,,,,,,,,,,787.1591063999999
821.284,104.0,170.1833213003,3125.0,89.43979710897,,89.43979710897,107.42836331843,111.220472440945,,,,1.19826420479462,,787.178004
821.302,,,,,,,,,,,,,,787.1923296
821.3480000000001,,,,,,,,,,,,,,787.2279912
821.387,,,,,,,,,,,,,,787.258776
821.43,,,,,,,,,,,,,,787.2919992000001
821.436,104.0,170.20736169591,,89.42891089209,,89.42891089209,107.42836331843,118.503937007874,,,,1.19826420479462,,787.2965712
821.4730000000001,,,,,,,,,,,,,,787.3249176
821.515,,,,,,,,,,,,,,787.3581408
821.561,,,,,,,,,,,,,,787.3938024
821.5880000000001,104.0,170.23230927626005,,89.39806661093,,89.39806661093,107.42836331843,118.110236220472,,,,1.19826420479462,,787.4151383999999
821.6039999999999,,,,,,,,,,,,,,787.4267208
821.6489999999999,,,,,,,,,,,,,,787.4623824
821.735,,,,,,,,,,,,,,787.5288287999999
821.7410000000001,104.0,170.25680326424,3085.938,89.78271294069,,89.78271294069,107.42836331843,114.370078740158,,,,1.19826420479462,,787.5334008
821.78,,,,,,,,,,,,,,787.5641856000001
821.826,,,,,,,,,,,,,,787.5998472
821.875,,,,,,,,,,,,,,787.6376424
821.893,104.0,170.28129725222,,89.91879065169,,89.91879065169,107.42836331843,108.070866141732,,,,1.19826420479462,,787.6516632
821.921,,,,,,,,,,,,,,787.6729992
821.9689999999999,,,,,,,,,,,,,,787.7110992
822.0,,,,,1.20000004768372,,,,789.400024414063,789.400024414063,1.19000005722046,,8.07615248458336,
822.018,,,,,,,,,,,,,,787.7488944
822.046,104.0,170.3057912402,,90.42046381291,,90.42046381291,107.42836331843,104.724409448819,,,,1.19826420479462,,787.7702304
822.067,,,,,,,,,,,,,,787.7866896
822.113,,,,,,,,,,,,,,787.8223512
822.198,104.0,170.33028522818,3125.0,90.73616410243,,90.73616410243,107.42836331843,101.377952755906,,,,1.19826420479462,,787.8884927999999
822.2130000000001,,,,,,,,,,,,,,787.9003799999999
822.262,,,,,,,,,,,,,,787.9381752
822.314,,,,,,,,,,,,,,787.9784087999999
822.35,104.0,170.35477921616,,90.78515207839,,90.78515207839,107.42836331843,97.8346456692914,,,,1.19826420479462,,788.0067552
822.4169999999999,,,,,,,,,,,,,,788.0588759999999
822.4689999999999,,,,,,,,,,,,,,788.0991096
